Date,Race,Distance,Measurement,Terrain,Profile,Location,County,website
05 February 2023,Velo Runner-Envisage Alsager 5 - Velo Alsager 5,5,miles,Road,Flat,Stoke on Trent,Cheshire,www.alsagerfive.co.uk
11 February 2023,Tatton 10k - Tatton Park Chase the Sun 10k,10,k,Road,Undulating,Knutsford,Cheshire,www.tatton10k.com
12 February 2023,Boalloy Bypass 10k,10,k,Road,Undulating,Congleton,Cheshire,
16 August 2023,Ellesmere Port RC 5k Road Race in memory of Neil Lavery,5,k,Road,Flat,Ellesmere Port,Cheshire,www.ellesmereportrunningclub.org.uk/ellesmere-port-rc-5k
17 September 2023,Guilden Sutton 10K (previously the “Sutton Six”),10,k,Road,Flat,Chester,Cheshire,www.westcheshireac.co.uk/races/road/
12 April 2023,Chester Spring 5,5,miles,Road,Undulating,Chester,Cheshire,www.westcheshireac.co.uk/races/road/
26 December 2023,Chester Round the Walls,4.25,miles,Road,Flat,Chester,Cheshire,www.westcheshireac.co.uk/races/road/
12 March 2023,MBNA Chester 10K,10,k,Road,Flat,Chester,Cheshire,www.activeleisureevents.co.uk/chester-10k
21 May 2023,Essar Chester Half Marathon,Half Marathon,,Road,Flat,Chester,Cheshire,www.activeleisureevents.co.uk/half-marathon
08 October 2023,MBNA Metric Marathon,26.6,k,Road,Flat,Chester,Cheshire,www.activeleisureevents.co.uk/metric-marathon
08 October 2023,MBNA Chester Marathon,Marathon,,Road,Flat,Chester,Cheshire,www.activeleisureevents.co.uk/marathon
18 February 2023,The Winter Railway Ultra,9,miles,Road,Flat,Telford,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
18 February 2023,The Winter Railway Ultra,Half Marathon,,Road,Flat,Telford,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
18 February 2023,The Winter Railway Ultra,19,miles,Road,Flat,Telford,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
18 February 2023,The Winter Railway Ultra,28,miles,Road,Flat,Telford,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
18 February 2023,The Winter Railway Ultra,37,miles,Road,Flat,Telford,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
04 March 2023,The Groundhog Marathon,10,k,Track,Flat,Telford ,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
04 March 2023,The Groundhog Marathon,Half Marathon,,Track,Flat,Telford ,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
04 March 2023,The Groundhog Marathon,Marathon,,Track,Flat,Telford ,Shropshire,www.codrc.co.uk/the-winter-railway-ultra/
25 March 2023,The Silkin Way Ultra,50,k,Road,Flat,Telford ,Shropshire,www.codrc.co.uk/the-silkin-way-ultra-and-half/
25 March 2023,The Silkin Way Ultra,Half Marathon,,Road,Flat,Telford ,Shropshire,www.codrc.co.uk/the-silkin-way-ultra-and-half/
22 April 2023,The Telford T50 Trail Run,50,miles,Trail,Undulating,Telford ,Shropshire,www.codrc.co.uk/the-telford-t50-trail-run
22 April 2023,The Telford T50 Trail Run,10,miles,Trail,Undulating,Telford ,Shropshire,www.codrc.co.uk/the-telford-t50-trail-run
05 May 2023,May the Fourth be with you,Half Marathon,,Trail,Undulating,Church Stretton,Shropshire,www.codrc.co.uk/may-the-fourth-be-with-you-original/
05 May 2023,May the Fourth be with you,Marathon,,Trail,Undulating,Church Stretton,Shropshire,www.codrc.co.uk/may-the-fourth-be-with-you-original/
14 May 2023,Sandstone Trail Challenge,34,miles,Trail,Undulating,Whitchurch,Shropshire,www.helsbyrunningclub.org.uk/sandstone-challenge-details
